Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
3/01/2018,3.42,0.59,0.396,0.00248,0.00191,0.51,0.00283,6.7,1.16,0.776,0.00486,0.00374
5/01/2018,179.0,0.477,0.32,0.288,0.222,45.6,0.0253,3.93,0.0105,0.00701,0.00631,0.00486
10/01/2018,268.0,0.624,0.418,0.374,0.288,58.6,0.0192,4.56,0.0106,0.00712,0.00638,0.00491
13/01/2018,5.36,0.05,0.0335,0.00567,0.00437,1.4,0.0117,3.83,0.0357,0.0239,0.00405,0.00312
2/02/2018,234.0,0.305,0.204,0.185,0.142,30.3,0.0388,7.72,0.0101,0.00674,0.0061,0.0047
2/02/2018,1.02,2.42,1.62,0.00168,0.0013,0.32,0.00133,3.18,7.56,5.07,0.00526,0.00405
11/02/2018,101.0,0.165,0.111,0.0933,0.0718,15.4,0.0213,6.59,0.0108,0.00721,0.00607,0.00468
19/02/2018,5.74,0.251,0.168,0.00394,0.00303,0.81,0.0045,7.09,0.31,0.208,0.00486,0.00374
20/02/2018,142.0,0.623,0.417,0.381,0.293,60.3,0.0347,2.36,0.0103,0.00692,0.00631,0.00486
22/02/2018,44.2,0.0949,0.0636,0.0573,0.0441,11.8,0.0655,3.75,0.00805,0.00539,0.00486,0.00374
26/02/2018,44.9,0.0978,0.0655,0.047,0.0362,8.0,0.0167,5.61,0.0122,0.00819,0.00587,0.00452
28/02/2018,12.7,0.147,0.0982,0.0158,0.0122,2.73,0.0065,4.65,0.0537,0.036,0.00578,0.00445
6/03/2018,113.0,0.197,0.132,0.114,0.088,18.7,0.024,6.05,0.0105,0.00704,0.0061,0.0047
9/03/2018,6.25,0.0626,0.0419,0.00486,0.00374,1.2,0.01,5.21,0.0521,0.0349,0.00405,0.00312
21/03/2018,153.0,0.238,0.159,0.134,0.103,21.4,0.017,7.14,0.0111,0.00745,0.00625,0.00481
23/03/2018,2.85,0.202,0.135,0.00437,0.00337,0.9,0.005,3.17,0.224,0.15,0.00486,0.00374
23/03/2018,13.3,0.394,0.264,0.0274,0.0211,4.4,0.00367,3.02,0.0895,0.0599,0.00623,0.0048
24/03/2018,13.5,0.0442,0.0296,0.0194,0.0149,3.99,0.0222,3.39,0.0111,0.00743,0.00486,0.00374
9/04/2018,337.0,0.55,0.368,0.323,0.249,50.6,0.0153,6.66,0.0109,0.00728,0.00639,0.00492
12/04/2018,5.97,0.0459,0.0307,0.00608,0.00468,1.5,0.0125,3.98,0.0306,0.0205,0.00405,0.00312
16/04/2018,22.0,0.0559,0.0375,0.0206,0.0159,3.92,0.0163,5.61,0.0143,0.00956,0.00526,0.00405
21/04/2018,39.8,0.0641,0.0429,0.0337,0.0259,6.4,0.0267,6.22,0.01,0.00671,0.00526,0.00405
28/04/2018,207.0,0.399,0.267,0.235,0.181,37.1,0.0182,5.59,0.0108,0.00722,0.00633,0.00488
30/04/2018,16.8,0.0926,0.062,0.0247,0.019,4.27,0.0102,3.93,0.0217,0.0145,0.00578,0.00445
12/05/2018,7.72,0.0842,0.0564,0.00405,0.00312,1.0,0.00833,7.72,0.0842,0.0564,0.00405,0.00312
13/05/2018,31.6,0.109,0.073,0.0437,0.0337,7.3,0.0122,4.33,0.0149,0.00999,0.00599,0.00461
15/05/2018,30.0,0.116,0.0779,0.0451,0.0348,7.48,0.0113,4.01,0.0155,0.0104,0.00604,0.00465
16/05/2018,10.8,0.0481,0.0322,0.0127,0.00977,2.61,0.0145,4.15,0.0184,0.0123,0.00486,0.00374
16/05/2018,19.7,0.0785,0.0526,0.0374,0.0288,6.6,0.0183,2.99,0.0119,0.00797,0.00567,0.00436
20/05/2018,13.7,0.104,0.0699,0.0132,0.0102,2.4,0.008,5.69,0.0435,0.0291,0.00551,0.00424
23/05/2018,23.8,0.0141,0.00946,0.00781,0.00602,4.8,0.08,4.96,0.00294,0.00197,0.00163,0.00125
25/05/2018,51.8,0.157,0.105,0.0642,0.0494,10.4,0.0102,4.99,0.0152,0.0102,0.00619,0.00477
27/05/2018,1.23,0.197,0.132,0.000488,0.000376,0.3,0.005,4.11,0.658,0.441,0.00163,0.00125
27/05/2018,63.1,0.246,0.165,0.126,0.0972,20.0,0.0115,3.15,0.0123,0.00825,0.00631,0.00486
2/06/2018,1.84,0.2,0.134,0.000489,0.000377,0.3,0.005,6.13,0.668,0.448,0.00163,0.00126
3/06/2018,42.4,0.146,0.0981,0.0762,0.0586,12.5,0.016,3.4,0.0117,0.00786,0.0061,0.0047
4/06/2018,45.8,0.192,0.129,0.0778,0.0599,12.4,0.009,3.69,0.0154,0.0104,0.00627,0.00482
5/06/2018,77.3,0.239,0.16,0.141,0.109,22.9,0.0255,3.37,0.0104,0.00698,0.00615,0.00474
7/06/2018,16.0,0.0886,0.0594,0.0267,0.0206,4.62,0.011,3.46,0.0192,0.0128,0.00578,0.00445
11/06/2018,23.7,0.113,0.0757,0.024,0.0184,4.08,0.0085,5.81,0.0277,0.0186,0.00587,0.00452
12/06/2018,100.0,0.275,0.184,0.16,0.123,25.5,0.0193,3.92,0.0108,0.00723,0.00626,0.00482
14/06/2018,5.63,0.238,0.159,0.00952,0.00733,1.68,0.00467,3.35,0.142,0.0948,0.00567,0.00436
18/06/2018,13.8,0.495,0.332,0.0138,0.0107,2.28,0.00317,6.06,0.217,0.146,0.00607,0.00468
19/06/2018,7.0,0.0344,0.0231,0.0081,0.00624,2.0,0.0167,3.5,0.0172,0.0115,0.00405,0.00312
26/06/2018,4.66,0.155,0.104,0.00284,0.00218,0.7,0.00583,6.65,0.221,0.148,0.00405,0.00312
1/07/2018,31.1,0.332,0.223,0.0312,0.024,5.0,0.00417,6.22,0.0665,0.0445,0.00623,0.0048
10/07/2018,39.9,0.0614,0.0411,0.0312,0.024,5.92,0.0247,6.73,0.0104,0.00695,0.00526,0.00405
15/07/2018,25.5,0.0677,0.0454,0.0226,0.0174,4.1,0.0137,6.22,0.0165,0.0111,0.00551,0.00424
16/07/2018,18.6,0.107,0.0715,0.0315,0.0243,5.31,0.00983,3.51,0.0201,0.0135,0.00594,0.00457
23/07/2018,4.05,0.75,0.502,0.00316,0.00243,0.6,0.0025,6.75,1.25,0.837,0.00526,0.00405
24/07/2018,3.73,0.332,0.223,0.00484,0.00373,0.92,0.00383,4.05,0.361,0.242,0.00526,0.00405
25/07/2018,4.38,0.0241,0.0161,0.00163,0.00125,1.0,0.0167,4.38,0.0241,0.0161,0.00163,0.00125
29/07/2018,2.95,0.284,0.19,0.00203,0.00156,0.5,0.00417,5.89,0.569,0.381,0.00405,0.00312
6/08/2018,13.4,0.87,0.583,0.012,0.00925,1.96,0.00233,6.84,0.444,0.297,0.00613,0.00472
8/08/2018,5.52,0.0211,0.0141,0.00179,0.00138,1.1,0.0183,5.02,0.0192,0.0128,0.00163,0.00125
17/08/2018,35.3,0.143,0.0956,0.0299,0.023,4.95,0.0075,7.13,0.0288,0.0193,0.00604,0.00465
24/08/2018,11.6,0.158,0.106,0.00991,0.00763,1.8,0.006,6.44,0.0879,0.0589,0.00551,0.00424
29/08/2018,10.2,0.259,0.173,0.00918,0.00707,1.62,0.0045,6.27,0.16,0.107,0.00567,0.00436
3/09/2018,144.0,0.268,0.179,0.162,0.125,26.6,0.037,5.4,0.01,0.00673,0.00607,0.00468
3/09/2018,12.3,0.144,0.0967,0.0219,0.0169,3.69,0.00683,3.32,0.0391,0.0262,0.00594,0.00457
24/09/2018,75.4,0.0595,0.0399,0.0357,0.0275,8.8,0.0733,8.57,0.00676,0.00453,0.00405,0.00312
25/09/2018,14.2,0.0984,0.0659,0.0286,0.0221,4.88,0.0102,2.9,0.0202,0.0135,0.00587,0.00452
5/10/2018,17.2,0.0788,0.0528,0.0122,0.0094,2.32,0.00967,7.43,0.034,0.0228,0.00526,0.00405
11/10/2018,8.39,0.178,0.12,0.00695,0.00535,1.32,0.0055,6.36,0.135,0.0906,0.00526,0.00405
11/10/2018,63.2,0.28,0.188,0.144,0.111,22.8,0.0108,2.78,0.0123,0.00825,0.00634,0.00488
17/10/2018,4.18,0.852,0.571,0.00385,0.00297,0.7,0.00233,5.97,1.22,0.815,0.00551,0.00424
25/10/2018,21.6,0.0797,0.0534,0.0171,0.0131,3.1,0.0103,6.96,0.0257,0.0172,0.00551,0.00424
29/10/2018,49.1,0.0911,0.0611,0.0493,0.038,8.7,0.0242,5.64,0.0105,0.00702,0.00567,0.00436
30/10/2018,16.3,0.101,0.0674,0.0277,0.0213,4.72,0.00983,3.45,0.0213,0.0143,0.00587,0.00452
30/10/2018,4.42,0.0455,0.0305,0.00608,0.00468,1.5,0.0125,2.95,0.0303,0.0203,0.00405,0.00312
31/10/2018,22.1,0.145,0.0975,0.0328,0.0252,5.4,0.0075,4.09,0.0269,0.018,0.00607,0.00468
2/11/2018,6.87,0.088,0.059,0.00729,0.00561,1.5,0.00833,4.58,0.0587,0.0393,0.00486,0.00374
8/11/2018,164.0,0.304,0.203,0.179,0.138,28.6,0.0217,5.73,0.0106,0.00711,0.00626,0.00482
