Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
1,633.44,372.78,160.3,0.64753,0.32377,123.0,0.5125,5.1499,3.0307,1.3032,0.0052645,0.0026322
2,1674.7,344.75,148.24,1.6933,0.84666,307.5,1.025,5.4461,1.1211,0.48209,0.0055067,0.0027534
3,55.733,28.421,12.221,0.1495,0.074752,36.9,0.3075,1.5104,0.77021,0.33119,0.0040516,0.0020258
4,1263.6,180.36,77.555,1.4939,0.74696,307.38,1.7076,4.111,0.58677,0.25231,0.0048602,0.0024301
5,497.86,237.65,102.19,0.3988,0.1994,98.4,0.82,5.0596,2.4151,1.0385,0.0040528,0.0020264
6,229.9,82.841,35.622,0.10017,0.050083,61.5,1.025,3.7382,1.347,0.57921,0.0016287,0.00081435
7,590.86,517.71,222.62,0.60961,0.3048,110.7,0.369,5.3375,4.6767,2.011,0.0055068,0.0027534
8,8406.1,1444.1,620.97,18.688,9.344,3062.1,3.9258,2.7452,0.47161,0.20279,0.006103,0.0030515
9,215.5,262.71,112.97,0.1994,0.099699,49.2,0.41,4.3801,5.3397,2.2961,0.0040528,0.0020264
10,4135.4,1105.7,475.47,14.404,7.202,2386.7,3.6162,1.7327,0.4633,0.19922,0.0060351,0.0030176
11,219.24,31.28,13.45,0.14014,0.07007,86.1,1.435,2.5463,0.3633,0.15622,0.0016276,0.00081382
12,1339.3,552.86,237.73,1.0361,0.51804,196.8,0.82,6.8052,2.8093,1.208,0.0052646,0.0026323
13,96.259,183.84,79.051,0.040081,0.020041,24.6,0.41,3.9129,7.4731,3.2134,0.0016293,0.00081466
14,629.54,216.3,93.008,0.49849,0.24925,123.0,1.025,5.1182,1.7585,0.75617,0.0040528,0.0020264
15,14503.0,1549.5,666.29,19.454,9.7268,3173.6,3.7781,4.57,0.48824,0.20994,0.0061298,0.0030649
16,124.54,164.67,70.808,0.14954,0.074769,36.9,0.3075,3.375,4.4626,1.9189,0.0040525,0.0020263
17,214.96,368.01,158.24,0.23854,0.11927,49.077,0.27265,4.3801,7.4987,3.2244,0.0048606,0.0024303
18,105.28,149.27,64.186,0.17934,0.089672,36.9,0.205,2.8532,4.0452,1.7395,0.0048603,0.0024301
19,46.555,27.853,11.977,0.040038,0.020019,24.6,0.41,1.8925,1.1322,0.48686,0.0016276,0.00081378
20,44.422,24.897,10.706,0.040035,0.020018,24.6,0.41,1.8058,1.0121,0.4352,0.0016275,0.00081373
