Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
3/01/2020,113580.0,6066.9,5156.9,8.2964,1.6593,2291.2,7.6373,49.574,2.6479,2.2507,0.003621,0.0007242
6/01/2020,24667.0,2307.7,1961.6,3.0506,0.61011,1145.6,9.5467,21.532,2.0144,1.7123,0.0026629,0.00053257
4/02/2020,484390.0,20465.0,17395.0,28.753,5.7506,7245.9,10.979,66.85,2.8244,2.4007,0.0039682,0.00079363
6/02/2020,7144.5,505.31,429.51,0.45902,0.091803,429.6,7.16,16.63,1.1762,0.9998,0.0010685,0.00021369
8/02/2020,8917.7,577.21,490.63,0.61184,0.12237,572.8,9.5467,15.569,1.0077,0.85655,0.0010682,0.00021363
15/02/2020,18917.0,1357.0,1153.4,1.5265,0.30531,572.8,4.7733,33.026,2.369,2.0136,0.002665,0.00053301
22/02/2020,347030.0,23585.0,20047.0,33.358,6.6716,10439.0,57.996,33.242,2.2592,1.9204,0.0031954,0.00063909
23/02/2020,7827.6,940.52,799.44,1.221,0.24421,1145.6,19.093,6.8327,0.82098,0.69783,0.0010658,0.00021317
28/02/2020,31811.0,2067.3,1757.2,2.6712,0.53424,1002.4,8.3533,31.735,2.0624,1.753,0.0026648,0.00053296
3/03/2020,26042.0,2309.3,1962.9,3.0508,0.61016,1145.6,9.5467,22.732,2.0158,1.7134,0.0026631,0.00053261
10/03/2020,27990.0,1821.2,1548.0,2.2897,0.45795,859.2,7.16,32.577,2.1196,1.8017,0.002665,0.00053299
10/03/2020,7715.8,1776.2,1509.8,2.2863,0.45727,859.2,7.16,8.9802,2.0673,1.7572,0.002661,0.0005322
20/03/2020,22395.0,604.9,514.17,0.61697,0.12339,572.8,9.5467,39.098,1.056,0.89764,0.0010771,0.00021542
23/03/2020,102730.0,10058.0,8549.1,14.133,2.8266,4424.9,24.583,23.216,2.273,1.9321,0.003194,0.0006388
27/03/2020,22186.0,860.43,731.37,1.0728,0.21457,1002.4,16.707,22.133,0.85837,0.72962,0.0010703,0.00021405
29/03/2020,887340.0,144580.0,122900.0,204.67,40.933,49519.0,31.743,17.919,2.9198,2.4818,0.0041331,0.00082662
31/03/2020,4938.4,561.86,477.58,0.61076,0.12215,572.8,9.5467,8.6215,0.9809,0.83376,0.0010663,0.00021325
17/04/2020,30057.0,614.84,522.62,0.62083,0.12417,572.8,9.5467,52.473,1.0734,0.91239,0.0010839,0.00021677
18/04/2020,131860.0,36640.0,31144.0,51.805,10.361,13633.0,32.459,9.6725,2.6876,2.2845,0.0038001,0.00076001
3/05/2020,27926.0,612.31,520.46,0.61969,0.12394,572.8,9.5467,48.754,1.069,0.90863,0.0010819,0.00021637
4/05/2020,131080.0,25402.0,21592.0,35.744,7.1488,8763.8,8.1147,14.957,2.8985,2.4638,0.0040786,0.00081571
5/05/2020,40778.0,11973.0,10177.0,16.869,3.3738,5284.1,29.356,7.7171,2.2658,1.9259,0.0031925,0.00063849
25/05/2020,793480.0,42227.0,35893.0,59.673,11.935,14950.0,20.764,53.075,2.8246,2.4009,0.0039915,0.00079829
25/05/2020,3540.8,482.58,410.2,0.45803,0.091606,429.6,7.16,8.242,1.1233,0.95483,0.0010662,0.00021324
1/06/2020,18319.0,598.44,508.67,0.61519,0.12304,572.8,9.5467,31.982,1.0448,0.88804,0.001074,0.0002148
1/06/2020,10553.0,4291.2,3647.5,5.7594,1.1519,1546.6,4.296,6.8238,2.7747,2.3585,0.003724,0.0007448
4/06/2020,10824.0,582.64,495.24,0.61243,0.12249,572.8,9.5467,18.897,1.0172,0.8646,0.0010692,0.00021384
4/06/2020,145570.0,57247.0,48660.0,80.947,16.189,19762.0,16.468,7.3663,2.8969,2.4623,0.0040962,0.00081923
6/06/2020,163380.0,32613.0,27721.0,46.093,9.2186,12129.0,28.879,13.47,2.6889,2.2855,0.0038002,0.00076004
18/06/2020,681910.0,47545.0,40414.0,67.207,13.441,16754.0,21.48,40.7,2.8378,2.4121,0.0040113,0.00080226
19/06/2020,64596.0,20340.0,17289.0,28.659,5.7319,7346.2,13.604,8.7932,2.7688,2.3535,0.0039013,0.00078026
22/06/2020,9970.0,517.23,439.65,0.45995,0.091989,429.6,7.16,23.208,1.204,1.0234,0.0010706,0.00021413
25/06/2020,76273.0,9894.3,8410.2,13.869,2.7739,4009.6,16.707,19.023,2.4677,2.0975,0.0034591,0.00069181
