Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
1,104.0,61.4,51.6,1.39,1.32,123.0,0.512,0.845,0.499,0.42,0.0113,0.0107
2,261.0,89.9,75.5,3.63,3.45,308.0,1.02,0.848,0.292,0.246,0.0118,0.0112
3,25.7,84.6,71.0,0.321,0.305,36.9,0.307,0.697,2.29,1.92,0.00869,0.00826
4,249.0,75.2,63.2,3.2,3.04,307.0,1.71,0.811,0.245,0.205,0.0104,0.0099
5,83.0,32.2,27.0,0.856,0.813,98.4,0.82,0.844,0.327,0.275,0.0087,0.00827
6,49.5,13.6,11.5,0.216,0.206,61.5,1.02,0.805,0.222,0.186,0.00352,0.00334
7,94.1,84.6,71.1,1.31,1.24,111.0,0.369,0.85,0.764,0.642,0.0118,0.0112
8,2140.0,895.0,752.0,40.1,38.0,3060.0,3.93,0.697,0.292,0.246,0.0131,0.0124
9,40.6,55.2,46.4,0.428,0.407,49.2,0.41,0.826,1.12,0.943,0.0087,0.00826
10,1580.0,691.0,580.0,30.9,29.3,2390.0,3.62,0.661,0.289,0.243,0.0129,0.0123
11,65.1,11.7,9.79,0.303,0.287,86.1,1.43,0.756,0.135,0.114,0.00351,0.00334
12,174.0,62.7,52.7,2.22,2.11,197.0,0.82,0.882,0.319,0.268,0.0113,0.0107
13,20.0,47.6,40.0,0.0866,0.0823,24.6,0.41,0.811,1.93,1.63,0.00352,0.00334
14,104.0,32.7,27.5,1.07,1.02,123.0,1.02,0.844,0.266,0.223,0.0087,0.00827
15,2390.0,932.0,783.0,41.7,39.6,3170.0,3.78,0.754,0.294,0.247,0.0131,0.0125
16,29.2,84.7,71.1,0.321,0.305,36.9,0.307,0.792,2.29,1.93,0.0087,0.00826
17,40.5,108.0,91.0,0.512,0.486,49.1,0.273,0.826,2.21,1.85,0.0104,0.0099
18,28.5,173.0,146.0,0.385,0.365,36.9,0.205,0.771,4.7,3.95,0.0104,0.0099
19,17.8,47.5,39.9,0.0864,0.082,24.6,0.41,0.722,1.93,1.62,0.00351,0.00334
20,17.6,47.5,39.9,0.0864,0.082,24.6,0.41,0.717,1.93,1.62,0.00351,0.00333
21,111.0,32.7,27.5,1.07,1.02,123.0,1.02,0.906,0.266,0.223,0.00871,0.00827
22,502.0,190.0,160.0,8.42,8.0,713.0,2.38,0.704,0.267,0.224,0.0118,0.0112
23,36.9,55.2,46.4,0.428,0.406,49.2,0.41,0.751,1.12,0.942,0.0087,0.00826
24,126.0,70.5,59.2,1.89,1.79,160.0,0.533,0.789,0.441,0.37,0.0118,0.0112
25,1240.0,406.0,341.0,18.1,17.2,1440.0,3.0,0.862,0.282,0.237,0.0126,0.012
26,296.0,132.0,111.0,5.42,5.15,431.0,0.898,0.686,0.307,0.258,0.0126,0.012
27,89.9,97.0,81.5,1.5,1.42,123.0,0.342,0.73,0.787,0.661,0.0121,0.0115
28,42.4,55.3,46.4,0.428,0.407,49.2,0.41,0.862,1.12,0.943,0.0087,0.00827
29,392.0,128.0,107.0,5.52,5.24,467.0,1.56,0.838,0.273,0.229,0.0118,0.0112
30,929.0,343.0,288.0,14.9,14.2,1120.0,0.982,0.83,0.306,0.257,0.0133,0.0127
31,18.3,47.6,39.9,0.0864,0.0821,24.6,0.41,0.744,1.93,1.62,0.00351,0.00334
32,226.0,125.0,105.0,3.97,3.77,307.0,0.465,0.737,0.407,0.342,0.0129,0.0123
33,84.3,200.0,168.0,1.58,1.5,123.0,0.205,0.686,1.62,1.36,0.0128,0.0122
34,33.8,16.9,14.2,0.173,0.164,49.2,0.82,0.688,0.344,0.289,0.00351,0.00333
35,1480.0,552.0,464.0,24.6,23.3,1860.0,1.94,0.799,0.297,0.25,0.0132,0.0126
36,2600.0,969.0,814.0,43.3,41.1,3230.0,2.57,0.803,0.3,0.252,0.0134,0.0127
37,136.0,50.1,42.1,1.8,1.71,172.0,0.957,0.792,0.291,0.244,0.0104,0.0099
38,21.2,170.0,143.0,0.214,0.203,24.6,0.205,0.861,6.9,5.8,0.0087,0.00827
39,72.8,33.3,28.0,0.749,0.712,86.1,0.717,0.846,0.387,0.325,0.0087,0.00827
