Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
1/01/2021,10971.0,296.03,296.03,3.6195,0.83248,304.0,0.31667,36.09,0.97378,0.97378,0.011906,0.0027384
3/01/2021,299.61,8.4378,8.4378,0.094196,0.021665,30.0,0.5,9.9869,0.28126,0.28126,0.0031399,0.00072217
5/01/2021,816.79,8.5787,8.5787,0.09454,0.021744,30.0,0.5,27.226,0.28596,0.28596,0.0031513,0.0007248
8/01/2021,3005.4,127.7,127.7,1.5459,0.35555,132.0,0.18333,22.768,0.96742,0.96742,0.011711,0.0026936
10/01/2021,608.55,8.5348,8.5348,0.094416,0.021716,30.0,0.5,20.285,0.28449,0.28449,0.0031472,0.00072386
17/01/2021,6633.0,41.113,41.113,0.50484,0.11611,160.0,2.6667,41.456,0.25695,0.25695,0.0031552,0.0007257
21/01/2021,12342.0,362.97,362.97,4.4511,1.0237,399.0,0.95,30.932,0.9097,0.9097,0.011156,0.0025658
28/01/2021,27238.0,445.3,445.3,5.4749,1.2592,700.0,5.8333,38.911,0.63614,0.63614,0.0078212,0.0017989
29/01/2021,4503.1,292.72,292.72,3.5943,0.82669,460.0,3.8333,9.7893,0.63634,0.63634,0.0078137,0.0017972
9/02/2021,62137.0,1221.5,1221.5,14.997,3.4494,1274.0,1.6333,48.773,0.95875,0.95875,0.011772,0.0027075
16/02/2021,1122.6,8.6285,8.6285,0.0947,0.021781,30.0,0.5,37.421,0.28762,0.28762,0.0031567,0.00072603
7/03/2021,3903.6,15.974,15.974,0.19002,0.043704,60.0,1.0,65.059,0.26624,0.26624,0.0031669,0.0007284
10/03/2021,11783.0,424.16,424.16,5.1998,1.1959,444.0,0.61667,26.538,0.95531,0.95531,0.011711,0.0026936
16/03/2021,5040.3,36.04,36.04,0.44143,0.10153,140.0,2.3333,36.002,0.25743,0.25743,0.0031531,0.00072521
29/03/2021,2647.1,13.486,13.486,0.15813,0.036369,50.0,0.83333,52.942,0.26971,0.26971,0.0031626,0.00072739
2/04/2021,3953.4,30.977,30.977,0.37823,0.086993,120.0,2.0,32.945,0.25814,0.25814,0.0031519,0.00072494
10/04/2021,11014.0,199.64,199.64,2.4478,0.56299,261.0,1.45,42.201,0.76489,0.76489,0.0093786,0.0021571
16/04/2021,44373.0,1146.0,1146.0,14.069,3.2359,1190.0,1.4167,37.288,0.96299,0.96299,0.011823,0.0027192
24/04/2021,53346.0,346.21,346.21,4.2858,0.98573,1360.0,22.667,39.225,0.25457,0.25457,0.0031513,0.0007248
27/04/2021,1496.3,39.076,39.076,0.46918,0.10791,60.0,0.5,24.938,0.65126,0.65126,0.0078197,0.0017985
8/05/2021,2041.7,11.048,11.048,0.12649,0.029093,40.0,0.66667,51.043,0.2762,0.2762,0.0031623,0.00072733
12/05/2021,46110.0,1737.5,1737.5,21.335,4.907,1792.0,1.8667,25.731,0.96959,0.96959,0.011906,0.0027383
18/05/2021,12422.0,216.53,216.53,2.6592,0.61162,340.0,2.8333,36.534,0.63685,0.63685,0.0078213,0.0017989
24/05/2021,6529.7,153.72,153.72,1.8743,0.43108,168.0,0.4,38.868,0.91498,0.91498,0.011156,0.002566
28/05/2021,1412.4,13.414,13.414,0.15755,0.036237,50.0,0.83333,28.248,0.26828,0.26828,0.003151,0.00072474
29/05/2021,105580.0,12728.0,12728.0,156.3,35.949,12636.0,2.7,8.3553,1.0073,1.0073,0.01237,0.002845
6/06/2021,4182.1,76.93,76.93,0.93861,0.21588,120.0,1.0,34.85,0.64108,0.64108,0.0078217,0.001799
7/06/2021,4367.1,311.3,311.3,3.8097,0.87623,320.0,0.33333,13.647,0.97281,0.97281,0.011905,0.0027382
