Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
1,2.89e+224,3.2032e+223,2.7227e+223,4.2666e+220,8.5332e+219,1.2333e+223,5.1389e+220,23.432,2.5972,2.2076,0.0034594,0.00069188
2,7.6404e+224,7.994e+223,6.7949e+223,1.1158e+221,2.2316e+220,3.0833e+223,1.0278e+221,24.78,2.5926,2.2038,0.0036188,0.00072375
3,2.5427e+223,9.1724e+222,7.7965e+222,9.8448e+219,1.969e+219,3.7e+222,3.0833e+220,6.8722,2.479,2.1072,0.0026607,0.00053215
4,5.7651e+224,7.0267e+223,5.9727e+223,9.8427e+220,1.9685e+220,3.0821e+223,1.7123e+221,18.705,2.2798,1.9379,0.0031935,0.0006387
5,2.2714e+224,1.9893e+223,1.6909e+223,2.6276e+220,5.2552e+219,9.8667e+222,8.2222e+220,23.021,2.0161,1.7137,0.0026631,0.00053262
6,1.0489e+224,5.7351e+222,4.8748e+222,6.5897e+219,1.3179e+219,6.1667e+222,1.0278e+221,17.009,0.93001,0.79051,0.0010686,0.00021372
7,2.6957e+224,3.0825e+223,2.6201e+223,4.0168e+220,8.0336e+219,1.11e+223,3.7e+220,24.286,2.777,2.3605,0.0036187,0.00072374
8,3.8351e+225,8.699e+224,7.3941e+224,1.2314e+222,2.4627e+221,3.0704e+224,3.9364e+221,12.491,2.8332,2.4082,0.0040104,0.00080208
9,9.8319e+223,1.1462e+223,9.7428e+222,1.3135e+220,2.6271e+219,4.9333e+222,4.1111e+220,19.929,2.3234,1.9749,0.0026626,0.00053252
10,1.8867e+225,6.7057e+224,5.6999e+224,9.4906e+221,1.8981e+221,2.3932e+224,3.626e+221,7.8837,2.802,2.3817,0.0039657,0.00079314
11,1.0002e+224,7.3084e+222,6.2121e+222,9.2121e+219,1.8424e+219,8.6333e+222,1.4389e+221,11.586,0.84653,0.71955,0.001067,0.00021341
12,6.1102e+224,4.9621e+223,4.2178e+223,6.828e+220,1.3656e+220,1.9733e+223,8.2222e+220,30.964,2.5146,2.1374,0.0034601,0.00069203
13,4.3916e+223,4.0022e+222,3.4019e+222,2.6365e+219,5.2729e+218,2.4667e+222,4.1111e+220,17.804,1.6225,1.3791,0.0010688,0.00021377
14,2.8722e+224,2.4332e+223,2.0683e+223,3.2846e+220,6.5691e+219,1.2333e+223,1.0278e+221,23.288,1.9729,1.677,0.0026632,0.00053263
15,6.617e+225,9.0557e+224,7.6973e+224,1.2819e+222,2.5637e+221,3.1822e+224,3.7884e+221,20.793,2.8457,2.4188,0.0040281,0.00080563
16,5.6818e+223,9.548e+222,8.1158e+222,9.8489e+219,1.9698e+219,3.7e+222,3.0833e+220,15.356,2.5805,2.1935,0.0026619,0.00053237
17,9.8073e+223,1.4091e+223,1.1977e+223,1.5716e+220,3.1431e+219,4.921e+222,2.7339e+220,19.93,2.8635,2.434,0.0031936,0.00063872
18,4.8033e+223,1.1786e+223,1.0018e+223,1.1814e+220,2.3627e+219,3.7e+222,2.0556e+220,12.982,3.1853,2.7075,0.0031929,0.00063858
19,2.124e+223,3.7218e+222,3.1635e+222,2.6301e+219,5.2602e+218,2.4667e+222,4.1111e+220,8.6108,1.5088,1.2825,0.0010663,0.00021325
