Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
3/01/2018,448.0,1130.0,486.0,0.305,0.152,62.7,0.348,7.14,18.0,7.75,0.00486,0.00243
5/01/2018,16900.0,2740.0,1180.0,35.4,17.7,5610.0,3.12,3.02,0.488,0.21,0.00631,0.00316
10/01/2018,30900.0,3630.0,1560.0,46.0,23.0,7210.0,2.36,4.29,0.503,0.216,0.00638,0.00319
13/01/2018,403.0,70.0,30.1,0.698,0.349,172.0,1.43,2.34,0.406,0.175,0.00405,0.00203
2/02/2018,40500.0,2310.0,991.0,22.7,11.4,3730.0,4.78,10.9,0.619,0.266,0.0061,0.00305
2/02/2018,63.2,49.4,21.2,0.207,0.104,39.4,0.164,1.61,1.25,0.539,0.00526,0.00263
11/02/2018,14000.0,1150.0,494.0,11.5,5.74,1890.0,2.62,7.41,0.608,0.261,0.00607,0.00304
19/02/2018,798.0,1070.0,458.0,0.484,0.242,99.6,0.553,8.01,10.7,4.6,0.00486,0.00243
20/02/2018,8550.0,3580.0,1540.0,46.8,23.4,7420.0,4.26,1.15,0.483,0.207,0.00631,0.00315
22/02/2018,3420.0,544.0,234.0,7.05,3.52,1450.0,8.06,2.36,0.375,0.161,0.00486,0.00243
26/02/2018,5110.0,557.0,239.0,5.78,2.89,984.0,2.05,5.19,0.566,0.243,0.00587,0.00294
28/02/2018,1170.0,226.0,97.2,1.94,0.971,336.0,0.799,3.47,0.673,0.289,0.00578,0.00289
6/03/2018,14600.0,1240.0,534.0,14.1,7.03,2300.0,2.95,6.33,0.539,0.232,0.0061,0.00305
9/03/2018,639.0,143.0,61.6,0.598,0.299,148.0,1.23,4.33,0.97,0.417,0.00405,0.00203
21/03/2018,23600.0,1850.0,794.0,16.5,8.23,2630.0,2.09,8.94,0.701,0.301,0.00625,0.00312
23/03/2018,177.0,52.7,22.7,0.538,0.269,111.0,0.615,1.6,0.476,0.205,0.00486,0.00243
23/03/2018,799.0,270.0,116.0,3.37,1.69,541.0,0.451,1.48,0.499,0.215,0.00623,0.00312
24/03/2018,915.0,188.0,80.9,2.38,1.19,491.0,2.73,1.86,0.383,0.165,0.00486,0.00243
9/04/2018,55000.0,3930.0,1690.0,39.8,19.9,6220.0,1.89,8.84,0.631,0.271,0.00639,0.00319
12/04/2018,467.0,76.5,32.9,0.748,0.374,184.0,1.54,2.53,0.415,0.178,0.00405,0.00203
16/04/2018,2450.0,299.0,129.0,2.54,1.27,482.0,2.01,5.08,0.62,0.267,0.00526,0.00263
21/04/2018,4980.0,449.0,193.0,4.14,2.07,787.0,3.28,6.33,0.57,0.245,0.00526,0.00263
28/04/2018,26800.0,2420.0,1040.0,28.9,14.4,4560.0,2.23,5.88,0.531,0.228,0.00633,0.00317
30/04/2018,1310.0,255.0,110.0,3.04,1.52,525.0,1.25,2.5,0.485,0.209,0.00578,0.00289
12/05/2018,1170.0,1020.0,438.0,0.499,0.249,123.0,1.02,9.5,8.28,3.56,0.00405,0.00203
13/05/2018,2760.0,447.0,192.0,5.38,2.69,898.0,1.5,3.07,0.498,0.214,0.00599,0.003
15/05/2018,2440.0,450.0,193.0,5.55,2.78,920.0,1.39,2.65,0.489,0.21,0.00604,0.00302
16/05/2018,888.0,141.0,60.8,1.56,0.78,321.0,1.78,2.77,0.441,0.189,0.00486,0.00243
16/05/2018,1190.0,355.0,153.0,4.6,2.3,812.0,2.26,1.46,0.438,0.188,0.00567,0.00283
20/05/2018,1540.0,321.0,138.0,1.63,0.813,295.0,0.984,5.21,1.09,0.468,0.00551,0.00275
23/05/2018,2360.0,90.2,38.8,0.961,0.481,590.0,9.84,3.99,0.153,0.0657,0.00163,0.000814
25/05/2018,5290.0,700.0,301.0,7.9,3.95,1280.0,1.25,4.15,0.549,0.236,0.00619,0.0031
27/05/2018,98.9,50.6,21.8,0.0601,0.03,36.9,0.615,2.68,1.37,0.59,0.00163,0.000814
27/05/2018,4260.0,1200.0,514.0,15.5,7.76,2460.0,1.41,1.73,0.486,0.209,0.00631,0.00315
2/06/2018,221.0,420.0,181.0,0.0602,0.0301,36.9,0.615,5.98,11.4,4.9,0.00163,0.000815
