Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
1,2882.2,319.46,271.54,0.42551,0.085102,123.0,0.5125,23.432,2.5972,2.2076,0.0034594,0.00069188
2,7619.7,797.24,677.65,1.1128,0.22255,307.5,1.025,24.78,2.5926,2.2038,0.0036188,0.00072375
3,253.59,91.476,77.755,0.098182,0.019636,36.9,0.3075,6.8722,2.479,2.1072,0.0026607,0.00053215
4,5749.5,700.77,595.65,0.98161,0.19632,307.38,1.7076,18.705,2.2798,1.9379,0.0031935,0.0006387
5,2265.3,198.39,168.63,0.26205,0.05241,98.4,0.82,23.021,2.0161,1.7137,0.0026631,0.00053262
6,1046.0,57.196,48.617,0.065718,0.013144,61.5,1.025,17.009,0.93001,0.79051,0.0010686,0.00021372
7,2688.4,307.42,261.3,0.40059,0.080119,110.7,0.369,24.286,2.777,2.3605,0.0036187,0.00072374
8,38248.0,8675.5,7374.2,12.28,2.456,3062.1,3.9258,12.491,2.8332,2.4082,0.0040104,0.00080208
9,980.53,114.31,97.165,0.131,0.0262,49.2,0.41,19.929,2.3234,1.9749,0.0026626,0.00053252
10,18816.0,6687.6,5684.5,9.4649,1.893,2386.7,3.6162,7.8837,2.802,2.3817,0.0039657,0.00079314
11,997.52,72.886,61.953,0.091872,0.018374,86.1,1.435,11.586,0.84653,0.71955,0.001067,0.00021341
12,6093.6,494.87,420.64,0.68096,0.13619,196.8,0.82,30.964,2.5146,2.1374,0.0034601,0.00069203
13,437.98,39.914,33.927,0.026293,0.0052587,24.6,0.41,17.804,1.6225,1.3791,0.0010688,0.00021377
14,2864.4,242.67,206.27,0.32757,0.065514,123.0,1.025,23.288,1.9729,1.677,0.0026632,0.00053263
15,65991.0,9031.2,7676.5,12.784,2.5568,3173.6,3.7781,20.793,2.8457,2.4188,0.0040281,0.00080563
16,566.65,95.222,80.939,0.098223,0.019645,36.9,0.3075,15.356,2.5805,2.1935,0.0026619,0.00053237
17,978.08,140.53,119.45,0.15673,0.031346,49.077,0.27265,19.93,2.8635,2.434,0.0031936,0.00063872
18,479.03,117.54,99.906,0.11782,0.023564,36.9,0.205,12.982,3.1853,2.7075,0.0031929,0.00063858
19,211.82,37.118,31.55,0.02623,0.005246,24.6,0.41,8.6108,1.5088,1.2825,0.0010663,0.00021325
20,202.12,36.95,31.408,0.026228,0.0052456,24.6,0.41,8.2163,1.502,1.2767,0.0010662,0.00021323
21,4455.8,243.66,207.11,0.32789,0.065578,123.0,1.025,36.226,1.981,1.6839,0.0026658,0.00053315
22,5985.3,1827.9,1553.7,2.5809,0.51618,713.4,2.378,8.3898,2.5623,2.1779,0.0036178,0.00072355
23,541.63,111.95,95.154,0.13093,0.026187,49.2,0.41,11.009,2.2753,1.934,0.0026613,0.00053225
24,2444.1,425.57,361.73,0.57854,0.11571,159.9,0.533,15.285,2.6615,2.2623,0.0036181,0.00072363
25,49507.0,3926.9,3337.8,5.5542,1.1108,1439.6,2.9992,34.39,2.7278,2.3186,0.0038582,0.00077163
26,2918.1,1183.9,1006.3,1.6623,0.33246,430.99,0.8979,6.7706,2.7469,2.3349,0.0038569,0.00077138
27,1150.2,345.76,293.89,0.45898,0.091796,123.25,0.34235,9.3322,2.8054,2.3846,0.0037241,0.00074482
28,1282.9,115.48,98.156,0.13105,0.02621,49.2,0.41,26.076,2.3471,1.995,0.0026637,0.00053273
29,11135.0,1202.7,1022.3,1.6914,0.33828,467.4,1.558,23.823,2.5733,2.1873,0.0036187,0.00072374
30,28451.0,3243.4,2756.9,4.5763,0.91526,1119.4,0.98195,25.416,2.8974,2.4628,0.0040881,0.00081761
31,255.63,37.803,32.133,0.026241,0.0052482,24.6,0.41,10.391,1.5367,1.3062,0.0010667,0.00021334
32,3157.6,877.59,745.95,1.218,0.2436,307.13,0.46535,10.281,2.8574,2.4288,0.0039657,0.00079315
33,779.59,371.77,316.01,0.48421,0.096842,123.0,0.205,6.3381,3.0225,2.5692,0.0039367,0.00078733
34,312.71,47.636,40.491,0.052434,0.010487,49.2,0.82,6.3559,0.96822,0.82299,0.0010657,0.00021315
35,42974.0,5328.8,4529.4,7.5363,1.5073,1857.8,1.9352,23.132,2.8683,2.4381,0.0040566,0.00081132
36,101130.0,9377.8,7971.2,13.273,2.6545,3233.9,2.5666,31.271,2.8998,2.4649,0.0041042,0.00082084
37,2707.5,399.73,339.77,0.55026,0.11005,172.32,0.95735,15.712,2.3197,1.9717,0.0031932,0.00063863
38,635.71,85.556,72.723,0.065525,0.013105,24.6,0.205,25.842,3.4779,2.9562,0.0026636,0.00053272
39,2007.9,176.67,150.17,0.2293,0.04586,86.1,0.7175,23.32,2.052,1.7442,0.0026632,0.00053263
40,1012.0,308.03,261.82,0.42544,0.085089,159.9,1.3325,6.3293,1.9264,1.6374,0.0026607,0.00053214
41,8873.3,2005.3,1704.5,2.823,0.5646,700.85,0.83435,12.661,2.8612,2.432,0.0040279,0.00080558
42,24655.0,6649.1,5651.7,9.408,1.8816,2312.6,2.2673,10.661,2.8751,2.4438,0.0040681,0.00081362
43,540.85,184.4,156.74,0.2356,0.04712,73.8,0.41,7.3286,2.4987,2.1239,0.0031924,0.00063848
44,44454.0,4175.9,3549.5,5.8953,1.1791,1426.3,0.9143,31.167,2.9277,2.4886,0.0041333,0.00082666
45,10649.0,919.1,781.24,1.2839,0.25678,344.65,0.95735,30.899,2.6668,2.2668,0.0037253,0.00074506
46,2543.0,1097.6,932.96,1.541,0.3082,405.53,0.96555,6.2708,2.7066,2.3006,0.0037999,0.00075999
47,2289.4,578.26,491.52,0.79507,0.15901,209.22,0.49815,10.942,2.7639,2.3493,0.0038001,0.00076002
48,2202.8,291.7,247.94,0.39239,0.078479,122.88,0.68265,17.927,2.3739,2.0178,0.0031934,0.00063868
49,18827.0,5762.9,4898.5,8.1531,1.6306,2016.6,2.2407,9.336,2.8578,2.4291,0.004043,0.00080861
50,4694.8,349.58,297.14,0.46821,0.093642,135.3,0.56375,34.699,2.5837,2.1962,0.0034605,0.00069211
51,1981.9,117.5,99.875,0.1312,0.02624,49.2,0.41,40.282,2.3882,2.03,0.0026667,0.00053333
52,12502.0,4929.3,4189.9,6.9709,1.3942,1709.2,1.5826,7.3144,2.884,2.4514,0.0040784,0.00081569
53,934.63,285.34,242.54,0.39272,0.078544,147.6,1.23,6.3322,1.9332,1.6432,0.0026607,0.00053214
54,1384.8,46.026,39.122,0.039719,0.0079438,36.9,0.615,37.529,1.2473,1.0602,0.0010764,0.00021528
55,1109.9,287.87,244.69,0.38284,0.076569,110.7,0.46125,10.026,2.6005,2.2104,0.0034584,0.00069168
56,955.27,50.111,42.595,0.052612,0.010522,49.2,0.82,19.416,1.0185,0.86575,0.0010694,0.00021387
57,34243.0,5854.2,4976.0,8.2805,1.6561,2030.2,1.8799,16.867,2.8835,2.451,0.0040786,0.00081572
58,3908.3,292.68,248.78,0.38309,0.076618,110.7,0.46125,35.306,2.6439,2.2473,0.0034606,0.00069212
59,22877.0,5637.8,4792.1,7.9718,1.5944,1931.1,1.2874,11.847,2.9195,2.4816,0.0041281,0.00082562
60,950.11,314.23,267.1,0.41226,0.082451,110.7,0.3075,8.5827,2.8386,2.4128,0.0037241,0.00074482
61,3806.9,548.71,466.4,0.74933,0.14987,197.17,0.46945,19.308,2.7829,2.3655,0.0038005,0.00076009
62,10364.0,1519.0,1291.2,2.1369,0.42739,553.99,1.1542,18.707,2.742,2.3307,0.0038573,0.00077147
63,29478.0,5013.0,4261.0,7.089,1.4178,1747.6,1.8204,16.868,2.8685,2.4382,0.0040565,0.00081129
64,9612.8,642.97,546.52,0.89393,0.17879,258.3,1.0763,37.216,2.4892,2.1158,0.0034608,0.00069217
65,1210.1,65.104,55.338,0.078848,0.01577,73.8,1.23,16.397,0.88216,0.74984,0.0010684,0.00021368
66,2802.2,400.17,340.15,0.55654,0.11131,209.1,1.7425,13.401,1.9138,1.6267,0.0026616,0.00053232
67,2373.5,309.32,262.92,0.42562,0.085124,159.9,1.3325,14.843,1.9344,1.6443,0.0026618,0.00053236
68,939.0,43.312,36.815,0.026486,0.0052973,24.6,0.41,38.171,1.7607,1.4966,0.0010767,0.00021534
69,451.74,40.042,34.036,0.026298,0.0052595,24.6,0.41,18.363,1.6277,1.3836,0.001069,0.0002138
70,1019.7,81.313,69.116,0.10496,0.020993,98.4,1.64,10.362,0.82635,0.7024,0.0010667,0.00021334
71,2995.0,1196.5,1017.0,1.6817,0.33634,442.55,1.0537,6.7676,2.7037,2.2981,0.0038,0.00075999
72,15139.0,4858.4,4129.6,6.8725,1.3745,1722.5,2.3923,8.7892,2.8206,2.3975,0.0039899,0.00079798
73,14592.0,5897.1,5012.6,8.3401,1.668,2017.9,1.2935,7.2313,2.9224,2.484,0.004133,0.00082659
74,760.32,44.054,37.446,0.039473,0.0078947,36.9,0.615,20.605,1.1939,1.0148,0.0010697,0.00021395
75,2287.7,156.26,132.82,0.19665,0.03933,73.8,0.615,30.999,2.1174,1.7998,0.0026646,0.00053293
76,9247.8,823.26,699.77,1.1309,0.22618,283.39,0.3936,32.633,2.905,2.4693,0.0039905,0.00079811
77,221.32,37.275,31.684,0.026233,0.0052465,24.6,0.41,8.9969,1.5153,1.288,0.0010664,0.00021327
78,1766.4,219.59,186.65,0.29468,0.058936,110.7,0.9225,15.956,1.9837,1.6861,0.002662,0.00053239
