Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
1,79.18,83.151,81.488,0.092457,0.048078,123.0,0.5125,0.64374,0.67603,0.66251,0.00075168,0.00039087
2,209.33,215.51,211.2,0.24181,0.12574,307.5,1.025,0.68076,0.70085,0.68683,0.00078637,0.00040891
3,6.9666,20.11,19.708,0.021336,0.011095,36.9,0.3075,0.1888,0.54498,0.53408,0.00057822,0.00030068
4,157.95,189.98,186.18,0.21328,0.1109,307.38,1.7076,0.51388,0.61808,0.60572,0.00069386,0.00036081
5,62.233,51.297,50.271,0.056897,0.029587,98.4,0.82,0.63245,0.52131,0.51088,0.00057822,0.00030068
6,28.737,13.261,12.996,0.014225,0.0073972,61.5,1.025,0.46727,0.21563,0.21132,0.00023131,0.00012028
7,73.857,78.604,77.032,0.087052,0.045267,110.7,0.369,0.66718,0.71007,0.69587,0.00078637,0.00040891
8,1050.8,2372.2,2324.7,2.6694,1.3881,3062.1,3.9258,0.34315,0.77469,0.7592,0.00087177,0.00045332
9,26.938,26.409,25.88,0.028449,0.014793,49.2,0.41,0.54751,0.53676,0.52602,0.00057822,0.00030068
10,516.92,1828.4,1791.9,2.0575,1.0699,2386.7,3.6162,0.21658,0.76609,0.75077,0.00086206,0.00044827
11,27.404,18.186,17.822,0.019915,0.010356,86.1,1.435,0.31829,0.21122,0.20699,0.00023131,0.00012028
12,167.41,132.22,129.57,0.14793,0.076924,196.8,0.82,0.85065,0.67184,0.6584,0.00075168,0.00039087
13,12.032,6.166,6.0426,0.0056901,0.0029589,24.6,0.41,0.48912,0.25065,0.24564,0.00023131,0.00012028
14,78.692,63.846,62.569,0.071121,0.036983,123.0,1.025,0.63977,0.51907,0.50869,0.00057822,0.00030068
15,1812.9,2469.4,2420.0,2.7788,1.445,3173.6,3.7781,0.57125,0.77808,0.76252,0.00087558,0.0004553
16,15.567,20.278,19.873,0.021336,0.011095,36.9,0.3075,0.42188,0.54955,0.53856,0.00057822,0.00030068
17,26.87,31.76,31.125,0.034053,0.017707,49.077,0.27265,0.54751,0.64715,0.63421,0.00069386,0.00036081
18,13.16,24.466,23.976,0.025604,0.013314,36.9,0.205,0.35665,0.66303,0.64977,0.00069386,0.00036081
19,5.8194,6.0389,5.9181,0.0056901,0.0029589,24.6,0.41,0.23656,0.24548,0.24057,0.00023131,0.00012028
20,5.5528,6.0312,5.9106,0.0056901,0.0029589,24.6,0.41,0.22572,0.24517,0.24027,0.00023131,0.00012028
21,122.41,63.893,62.615,0.071121,0.036983,123.0,1.025,0.99522,0.51945,0.50906,0.00057822,0.00030068
22,164.43,498.83,488.85,0.561,0.29172,713.4,2.378,0.23049,0.69923,0.68525,0.00078637,0.00040891
23,14.88,26.301,25.775,0.028449,0.014793,49.2,0.41,0.30244,0.53458,0.52389,0.00057822,0.00030068
24,67.144,112.63,110.38,0.12574,0.065385,159.9,0.533,0.41991,0.7044,0.69031,0.00078637,0.00040891
25,1360.1,1072.8,1051.4,1.207,0.62762,1439.6,2.9992,0.94477,0.74523,0.73033,0.00083841,0.00043597
26,80.167,321.64,315.21,0.36135,0.1879,430.99,0.8979,0.18601,0.74629,0.73136,0.00083841,0.00043597
27,31.598,89.772,87.977,0.099768,0.051879,123.25,0.34235,0.25638,0.7284,0.71383,0.0008095,0.00042094
28,35.246,26.461,25.932,0.028449,0.014793,49.2,0.41,0.71638,0.53782,0.52707,0.00057822,0.00030068
