Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
1,304.62,33.764,28.699,0.044972,0.0089945,13.0,0.054167,23.432,2.5972,2.2076,0.0034594,0.00069188
2,805.34,84.261,71.622,0.11761,0.023522,32.5,0.10833,24.78,2.5926,2.2038,0.0036188,0.00072375
3,26.802,9.6682,8.218,0.010377,0.0020754,3.9,0.0325,6.8722,2.479,2.1072,0.0026607,0.00053215
4,607.67,74.065,62.955,0.10375,0.020749,32.487,0.18048,18.705,2.2798,1.9379,0.0031935,0.0006387
5,239.42,20.968,17.823,0.027696,0.0055393,10.4,0.086667,23.021,2.0161,1.7137,0.0026631,0.00053262
6,110.56,6.0451,5.1383,0.0069459,0.0013892,6.5,0.10833,17.009,0.93001,0.79051,0.0010686,0.00021372
7,284.14,32.491,27.617,0.042339,0.0084678,11.7,0.039,24.286,2.777,2.3605,0.0036187,0.00072374
8,4042.4,916.92,779.38,1.2979,0.25958,323.63,0.41492,12.491,2.8332,2.4082,0.0040104,0.00080208
9,103.63,12.082,10.269,0.013845,0.0027691,5.2,0.043333,19.929,2.3234,1.9749,0.0026626,0.00053252
10,1988.7,706.82,600.8,1.0004,0.20007,252.25,0.3822,7.8837,2.802,2.3817,0.0039657,0.00079314
11,105.43,7.7034,6.5479,0.00971,0.001942,9.1,0.15167,11.586,0.84653,0.71955,0.001067,0.00021341
12,644.04,52.303,44.458,0.071971,0.014394,20.8,0.086667,30.964,2.5146,2.1374,0.0034601,0.00069203
13,46.29,4.2185,3.5857,0.002779,0.00055579,2.6,0.043333,17.804,1.6225,1.3791,0.0010688,0.00021377
14,302.74,25.648,21.801,0.034621,0.0069242,13.0,0.10833,23.288,1.9729,1.677,0.0026632,0.00053263
15,6974.6,954.52,811.34,1.3511,0.27023,335.43,0.39932,20.793,2.8457,2.4188,0.0040281,0.00080563
16,59.889,10.064,8.5545,0.010381,0.0020763,3.9,0.0325,15.356,2.5805,2.1935,0.0026619,0.00053237
17,103.37,14.853,12.625,0.016565,0.003313,5.187,0.028817,19.93,2.8635,2.434,0.0031936,0.00063872
18,50.63,12.423,10.559,0.012452,0.0024905,3.9,0.021667,12.982,3.1853,2.7075,0.0031929,0.00063858
19,22.388,3.923,3.3345,0.0027723,0.00055446,2.6,0.043333,8.6108,1.5088,1.2825,0.0010663,0.00021325
20,21.362,3.9053,3.3195,0.002772,0.00055441,2.6,0.043333,8.2163,1.502,1.2767,0.0010662,0.00021323
21,470.94,25.753,21.89,0.034655,0.006931,13.0,0.10833,36.226,1.981,1.6839,0.0026658,0.00053315
22,632.59,193.2,164.22,0.27278,0.054556,75.4,0.25133,8.3898,2.5623,2.1779,0.0036178,0.00072355
23,57.245,11.832,10.057,0.013839,0.0027677,5.2,0.043333,11.009,2.2753,1.934,0.0026613,0.00053225
24,258.31,44.979,38.232,0.061146,0.012229,16.9,0.056333,15.285,2.6615,2.2623,0.0036181,0.00072363
25,5232.5,415.03,352.78,0.58703,0.11741,152.15,0.31698,34.39,2.7278,2.3186,0.0038582,0.00077163
26,308.41,125.13,106.36,0.17569,0.035138,45.552,0.0949,6.7706,2.7469,2.3349,0.0038569,0.00077138
27,121.56,36.543,31.062,0.04851,0.0097021,13.026,0.036183,9.3322,2.8054,2.3846,0.0037241,0.00074482
28,135.6,12.205,10.374,0.013851,0.0027702,5.2,0.043333,26.076,2.3471,1.995,0.0026637,0.00053273
29,1176.8,127.12,108.05,0.17876,0.035753,49.4,0.16467,23.823,2.5733,2.1873,0.0036187,0.00072374
30,3007.0,342.8,291.38,0.48367,0.096734,118.31,0.10378,25.416,2.8974,2.4628,0.0040881,0.00081761
31,27.018,3.9955,3.3961,0.0027735,0.00055469,2.6,0.043333,10.391,1.5367,1.3062,0.0010667,0.00021334
32,333.73,92.753,78.84,0.12873,0.025746,32.461,0.049183,10.281,2.8574,2.4288,0.0039657,0.00079315
33,82.395,39.293,33.399,0.051176,0.010235,13.0,0.021667,6.3381,3.0225,2.5692,0.0039367,0.00078733
34,33.05,5.0347,4.2795,0.0055418,0.0011084,5.2,0.086667,6.3559,0.96822,0.82299,0.0010657,0.00021315
35,4542.0,563.2,478.72,0.79652,0.1593,196.35,0.20453,23.132,2.8683,2.4381,0.0040566,0.00081132
36,10688.0,991.15,842.48,1.4028,0.28056,341.8,0.27127,31.271,2.8998,2.4649,0.0041042,0.00082084
37,286.16,42.248,35.911,0.058157,0.011631,18.213,0.10118,15.712,2.3197,1.9717,0.0031932,0.00063863
38,67.188,9.0425,7.6861,0.0069254,0.0013851,2.6,0.021667,25.842,3.4779,2.9562,0.0026636,0.00053272
39,212.21,18.673,15.872,0.024235,0.004847,9.1,0.075833,23.32,2.052,1.7442,0.0026632,0.00053263
40,106.96,32.556,27.673,0.044966,0.0089931,16.9,0.14083,6.3293,1.9264,1.6374,0.0026607,0.00053214
41,937.82,211.94,180.15,0.29836,0.059673,74.074,0.088183,12.661,2.8612,2.432,0.0040279,0.00080558
42,2605.8,702.75,597.34,0.99434,0.19887,244.43,0.23963,10.661,2.8751,2.4438,0.0040681,0.00081362
43,57.163,19.49,16.566,0.024901,0.0049802,7.8,0.043333,7.3286,2.4987,2.1239,0.0031924,0.00063848
44,4698.4,441.35,375.15,0.62308,0.12462,150.75,0.096633,31.167,2.9277,2.4886,0.0041333,0.00082666
45,1125.5,97.141,82.57,0.1357,0.02714,36.426,0.10118,30.899,2.6668,2.2668,0.0037253,0.00074506
46,268.77,116.01,98.605,0.16287,0.032574,42.861,0.10205,6.2708,2.7066,2.3006,0.0037999,0.00075999
47,241.96,61.117,51.95,0.084032,0.016806,22.113,0.05265,10.942,2.7639,2.3493,0.0038001,0.00076002
48,232.82,30.83,26.205,0.041473,0.0082945,12.987,0.07215,17.927,2.3739,2.0178,0.0031934,0.00063868
49,1989.8,609.09,517.73,0.86171,0.17234,213.13,0.23682,9.336,2.8578,2.4291,0.004043,0.00080861
50,496.2,36.947,31.405,0.049486,0.0098971,14.3,0.059583,34.699,2.5837,2.1962,0.0034605,0.00069211
51,209.47,12.419,10.556,0.013867,0.0027733,5.2,0.043333,40.282,2.3882,2.03,0.0026667,0.00053333
52,1321.3,520.99,442.84,0.73676,0.14735,180.65,0.16727,7.3144,2.884,2.4514,0.0040784,0.00081569
53,98.782,30.158,25.634,0.041507,0.0083013,15.6,0.13,6.3322,1.9332,1.6432,0.0026607,0.00053214
54,146.36,4.8645,4.1349,0.0041979,0.00083959,3.9,0.065,37.529,1.2473,1.0602,0.0010764,0.00021528
55,117.31,30.425,25.862,0.040463,0.0080926,11.7,0.04875,10.026,2.6005,2.2104,0.0034584,0.00069168
56,100.96,5.2963,4.5019,0.0055606,0.0011121,5.2,0.086667,19.416,1.0185,0.86575,0.0010694,0.00021387
57,3619.2,618.73,525.92,0.87518,0.17504,214.58,0.19868,16.867,2.8835,2.451,0.0040786,0.00081572
58,413.07,30.934,26.294,0.040489,0.0080978,11.7,0.04875,35.306,2.6439,2.2473,0.0034606,0.00069212
59,2417.9,595.87,506.49,0.84255,0.16851,204.1,0.13607,11.847,2.9195,2.4816,0.0041281,0.00082562
60,100.42,33.212,28.23,0.043572,0.0087143,11.7,0.0325,8.5827,2.8386,2.4128,0.0037241,0.00074482
61,402.35,57.994,49.295,0.079198,0.01584,20.839,0.049617,19.308,2.7829,2.3655,0.0038005,0.00076009
62,1095.4,160.55,136.47,0.22586,0.045171,58.552,0.12198,18.707,2.742,2.3307,0.0038573,0.00077147
63,3115.6,529.83,450.35,0.74925,0.14985,184.7,0.1924,16.868,2.8685,2.4382,0.0040565,0.00081129
64,1016.0,67.956,57.762,0.094481,0.018896,27.3,0.11375,37.216,2.4892,2.1158,0.0034608,0.00069217
65,127.9,6.8809,5.8487,0.0083336,0.0016667,7.8,0.13,16.397,0.88216,0.74984,0.0010684,0.00021368
66,296.17,42.295,35.95,0.058821,0.011764,22.1,0.18417,13.401,1.9138,1.6267,0.0026616,0.00053232
67,250.85,32.692,27.788,0.044984,0.0089969,16.9,0.14083,14.843,1.9344,1.6443,0.0026618,0.00053236
68,99.244,4.5777,3.8911,0.0027994,0.00055987,2.6,0.043333,38.171,1.7607,1.4966,0.0010767,0.00021534
69,47.745,4.2321,3.5973,0.0027794,0.00055588,2.6,0.043333,18.363,1.6277,1.3836,0.001069,0.0002138
70,107.77,8.5941,7.305,0.011094,0.0022188,10.4,0.17333,10.362,0.82635,0.7024,0.0010667,0.00021334
71,316.55,126.46,107.49,0.17774,0.035548,46.774,0.11137,6.7676,2.7037,2.2981,0.0038,0.00075999
72,1600.1,513.49,436.46,0.72637,0.14527,182.05,0.25285,8.7892,2.8206,2.3975,0.0039899,0.00079798
73,1542.3,623.28,529.78,0.88147,0.17629,213.28,0.13672,7.2313,2.9224,2.484,0.004133,0.00082659
74,80.359,4.6561,3.9577,0.004172,0.0008344,3.9,0.065,20.605,1.1939,1.0148,0.0010697,0.00021395
75,241.79,16.515,14.038,0.020784,0.0041568,7.8,0.065,30.999,2.1174,1.7998,0.0026646,0.00053293
76,977.41,87.011,73.96,0.11952,0.023905,29.952,0.0416,32.633,2.905,2.4693,0.0039905,0.00079811
77,23.392,3.9397,3.3487,0.0027725,0.00055451,2.6,0.043333,8.9969,1.5153,1.288,0.0010664,0.00021327
78,186.69,23.209,19.728,0.031145,0.006229,11.7,0.0975,15.956,1.9837,1.6861,0.002662,0.00053239
79,9377.0,3593.6,3054.6,5.0883,1.0177,1205.4,0.21602,7.7794,2.9813,2.5341,0.0042214,0.00084427
80,178.26,10.713,9.1056,0.010405,0.002081,3.9,0.0325,45.708,2.7468,2.3348,0.002668,0.00053359
81,593.48,209.81,178.33,0.29565,0.05913,74.1,0.10292,8.0091,2.8314,2.4067,0.0039899,0.00079797
82,1372.6,87.665,74.515,0.12236,0.024472,33.8,0.11267,40.61,2.5936,2.2046,0.0036201,0.00072402
83,360.36,65.284,55.491,0.091275,0.018255,28.587,0.15882,12.606,2.2837,1.9411,0.0031929,0.00063857
84,447.48,65.318,55.52,0.091283,0.018257,28.587,0.15882,15.653,2.2849,1.9421,0.0031932,0.00063863
85,69.936,14.621,12.428,0.016562,0.0033124,5.187,0.028817,13.483,2.8187,2.3959,0.0031929,0.00063859
86,1628.0,237.4,201.79,0.33404,0.066808,81.9,0.075833,19.878,2.8986,2.4638,0.0040786,0.00081573
87,930.96,93.772,79.706,0.13039,0.026078,33.8,0.070417,27.543,2.7743,2.3582,0.0038577,0.00077155
88,1378.1,103.88,88.297,0.1453,0.02906,39.0,0.10833,35.337,2.6636,2.264,0.0037256,0.00074513
89,1734.8,815.49,693.17,1.1538,0.23076,278.07,0.15448,6.2386,2.9327,2.4928,0.0041493,0.00082986
90,1392.5,168.48,143.21,0.23726,0.047452,62.426,0.14863,22.307,2.6989,2.2941,0.0038006,0.00076012
91,383.4,37.537,31.906,0.05192,0.010384,19.5,0.1625,19.662,1.925,1.6362,0.0026626,0.00053251
92,67.53,4.3897,3.7312,0.0027862,0.00055725,2.6,0.043333,25.973,1.6883,1.4351,0.0010716,0.00021433
93,13405.0,2072.3,1761.4,2.9343,0.58686,714.99,0.56745,18.748,2.8983,2.4636,0.004104,0.0008208
94,2320.5,337.16,286.58,0.47659,0.095317,123.55,0.2574,18.782,2.7289,2.3195,0.0038574,0.00077147
95,1052.7,91.585,77.847,0.12869,0.025738,40.287,0.22382,26.13,2.2733,1.9323,0.0031944,0.00063887
96,33.05,5.0347,4.2795,0.0055418,0.0011084,5.2,0.086667,6.3559,0.96822,0.82299,0.0010657,0.00021315
97,205.09,6.1861,5.2582,0.0069799,0.001396,6.5,0.10833,31.553,0.9517,0.80895,0.0010738,0.00021477
98,309.74,30.357,25.803,0.041536,0.0083073,15.6,0.13,19.855,1.9459,1.6541,0.0026626,0.00053252
99,164.31,6.1336,5.2135,0.006964,0.0013928,6.5,0.10833,25.278,0.94362,0.80208,0.0010714,0.00021428
100,3229.0,744.87,633.14,1.0543,0.21086,267.8,0.44633,12.058,2.7814,2.3642,0.0039368,0.00078737
101,2584.3,458.69,389.89,0.64824,0.12965,158.57,0.1391,16.297,2.8926,2.4587,0.0040879,0.00081758
102,1571.9,152.9,129.97,0.21588,0.043175,67.587,0.37548,23.257,2.2623,1.923,0.003194,0.00063881
103,4977.6,540.61,459.51,0.76448,0.1529,188.45,0.1963,26.414,2.8687,2.4384,0.0040567,0.00081134
104,242.55,27.947,23.755,0.038068,0.0076137,14.3,0.11917,16.961,1.9543,1.6612,0.0026621,0.00053242
